name,slug,description,assets,facets ,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
East Africa Carrots,east-africa-carrots,East Africa Carrots,east-africa-carrots.jpg,,Grams,500,E2024020800426,1258,zero,100,,,
Eastleigh Food,eastleigh-food,Eastleigh Food,eastleigh-food.jpeg,,Bags,10,E2024020800428,200,zero,100,,,
Evergrow Organic,evergrow-organic,Evergrow Organic,evergrow-organic.jpeg,category:fertilizers|company:agriprofocus|type:inputs,Kg,50,E2024020800484,1800,zero,100,,,
,,,,,Bags,50,E2024020800485,1800,zero,100,,,
Easy Grow,easy-grow,Easy Grow,easy-grow.jpg,category:foliar|company:osho chemical industries ltd|type:inputs,Grams,120,E2024020800429,150,zero,100,,,
Faida Kienyeji,faida-kienyeji,Faida Kienyeji,faida-kienyeji.jpg,category:livestock products|company:kitale industries ltd|type:inputs,Kg,50,F2024020800487,2300,zero,100,,,
Falcon Can Fertilizers,falcon-can-fertilizers,Falcon Can Fertilizers,falcon-can-fertilizers.jpg,,Kg,50,F2024020800488,2570,zero,100,,,
Falcon Fertilizers,falcon-fertilizers,Falcon Fertilizers,falcon-fertilizers.jpg,,Kg,50,F2024020800489,2550,zero,100,,,
Fanisi,fanisi,Fanisi,fanisi.jpg,category:fertilizers|company:fanisi company|type:inputs,Kg,50,F2024020800491,5200,zero,100,,,
Farmate Spray,farmate-spray,Farmate Spray,farmate-spray.jpg,category:others|company:farmate|type:inputs,Litre,1,F2024020800492,250,zero,100,,,
Fugo Feeds,fugo-feeds,Fugo Feeds,fugo-feeds.png,category:feeds|company:bb company|type:inputs,Kg,1,F2024020800548,55,zero,100,,,
Fukokill,fukokill,Fukokill,fukokill.webp,category:pesticides|company:imaginecare|type:inputs,Grams,25,F2024020800549,65,zero,100,,,
Fusilande Forte,fusilande-forte,Fusilande Forte,fusilande-forte.jpg,,Litre,1,F2024020800551,2050,zero,100,,,
Gadam,gadam,Gadam,gadam.jpg,category:seeds|company:karlo|type:inputs,Kg,2,G2024020800552,330,zero,100,,,
